acmi_id,acmi_name,wikidata_id,wikidata_name,match
28157,KATE CANNING,Q237669,TARYN MANNING,64
28157,KATE CANNING,Q228906,ANNE BAXTER,57
28157,KATE CANNING,Q254766,CATHERINE TATE,57
28157,KATE CANNING,Q470818,KEN ANNAKIN,55
28157,KATE CANNING,Q24615075,STEPH CHING,54
28157,KATE CANNING,Q1062316,CHANNON ROE,54
28157,KATE CANNING,Q5217771,DANIEL KATZ,54
28157,KATE CANNING,Q15076204,ARTEMIO ANTONINI,52
28157,KATE CANNING,Q2514268,IAIN CANNING,52
28157,KATE CANNING,Q1386955,JAMES CRAIG,52
28157,KATE CANNING,Q17473617,ANTONIN HARDT,52
28157,KATE CANNING,Q212064,CHANNING TATUM,52
28157,KATE CANNING,Q1138607,CRAIG MCKAY,52
28157,KATE CANNING,Q236688,DYAN CANNON,52
28157,KATE CANNING,Q1680220,JAMES CRAIG,52
28157,KATE CANNING,Q447938,KATE BEAHAN,50
28157,KATE CANNING,Q19609837,JORDAN CANNING,50
28157,KATE CANNING,Q212351,KATE DICKIE,50
28157,KATE CANNING,Q3356840,ATLE ANTONSEN,50
28157,KATE CANNING,Q269796,WALTER LANG,50
28157,KATE CANNING,Q102234501,CHONG KEAT AUN,49
28157,KATE CANNING,Q1117390,STOCKARD CHANNING,48
28157,KATE CANNING,Q11832047,KATE ASNER,48
28157,KATE CANNING,Q5398368,ESMA CANNON,48
28157,KATE CANNING,Q711380,GRACE CHANG,48
28157,KATE CANNING,Q707229,NG MAN-TAT,48
28157,KATE CANNING,Q49172137,KATE DAVIS,47
28157,KATE CANNING,Q213425,DANNY KAYE,47
28157,KATE CANNING,Q3028200,KATE FLANNERY,47
28157,KATE CANNING,Q4947369,KATE FABIAN,47
28157,KATE CANNING,Q40568703,BRIAN A. KATES,46
28157,KATE CANNING,Q231751,KAT DENNINGS,46
28157,KATE CANNING,Q435165,KATIE CARR,46
28157,KATE CANNING,Q530045,DANI KOUYATE,46
28157,KATE CANNING,Q1126355,CONNIE WALTHER,46
28157,KATE CANNING,Q106158997,ANTONIN SAMLER,45
28157,KATE CANNING,Q4251124,KAY CANNON,45
28157,KATE CANNING,Q229908,KATIE CASSIDY,45
28157,KATE CANNING,Q1680032,JAMES BENNING,45
28157,KATE CANNING,Q3161639,JAN CUNNINGHAM,45
28157,KATE CANNING,Q27042582,HARTO HANNINEN,44
