acmi_id,acmi_name,wikidata_id,wikidata_name,match
18092,CADRE,Q2846778,ANDREX,47
18092,CADRE,Q124209,CARL DREWS,44
18092,CADRE,Q16144824,R. D. CALL,39
18092,CADRE,Q39486973,RETO CADUFF,37
18092,CADRE,Q5040471,CARL LEE,37
18092,CADRE,Q609641,CARYBE,36
18092,CADRE,Q2847120,ANDRE,36
18092,CADRE,Q3791499,JEROME CADY,36
18092,CADRE,Q858026,CANSU DERE,33
18092,CADRE,Q16832050,CHANDRAN,32
18092,CADRE,Q357402,DREW CAREY,32
18092,CADRE,Q5074608,CHARLE,31
18092,CADRE,Q5032109,CANDY MOORE,31
18092,CADRE,Q3545514,ANDREW E.,31
18092,CADRE,Q4065835,ANDREY I,31
18092,CADRE,Q5071323,CHANDRABOSE,30
18092,CADRE,Q106284875,DREW CASSON,30
18092,CADRE,Q775065,NDREK LUCA,29
18092,CADRE,Q5342309,ED CLARK,28
18092,CADRE,Q4681440,ADE,26
18092,CADRE,Q4756024,ANDREJ ACIN,26
18092,CADRE,Q5332865,ECKARD RABE,26
18092,CADRE,Q1763766,CASSIDY RAE,23
18092,CADRE,Q370299,CHAD HURLEY,21
18092,CADRE,Q2042590,CLAUDE REGY,20
18092,CADRE,Q5071322,CHANDRABOSE,20
18092,CADRE,Q1077632,CAGE,20
18092,CADRE,Q106376551,CHARLES,18
18092,CADRE,Q708158,SCARFACE,18
18092,CADRE,Q5047113,CARTER,15
18092,CADRE,Q16210354,CARA GEE,15
18092,CADRE,Q2978051,CLAUDE REY,12
18092,CADRE,Q3838247,LUCA REA,0
