acmi_id,acmi_name,wikidata_id,wikidata_name,match
77640,RICHARD SHEFFIELD-MACCLURE,Q7308864,REGINALD SHEFFIELD,48
77640,RICHARD SHEFFIELD-MACCLURE,Q167106,MARIE RICHARDSON,45
77640,RICHARD SHEFFIELD-MACCLURE,Q352725,RICHARD BRINSLEY SHERIDAN,42
77640,RICHARD SHEFFIELD-MACCLURE,Q5239707,DAVID SHEFFIELD,38
77640,RICHARD SHEFFIELD-MACCLURE,Q979778,RICHARD MASUR,38
77640,RICHARD SHEFFIELD-MACCLURE,Q560747,RICHARD A. CLARKE,37
77640,RICHARD SHEFFIELD-MACCLURE,Q106712734,RICHARD R. RIMMEL,37
77640,RICHARD SHEFFIELD-MACCLURE,Q1470097,MARK RICHARDS,36
77640,RICHARD SHEFFIELD-MACCLURE,Q18153982,CHRIS SHEFFIELD,35
77640,RICHARD SHEFFIELD-MACCLURE,Q1911406,MAURICE ROSENFIELD,33
77640,RICHARD SHEFFIELD-MACCLURE,Q21519150,CLIVE RICHARD SAMUEL,33
77640,RICHARD SHEFFIELD-MACCLURE,Q392533,RICHARD SHEPHERD,32
77640,RICHARD SHEFFIELD-MACCLURE,Q15962220,RICHARD SHEPHERD,31
77640,RICHARD SHEFFIELD-MACCLURE,Q7613741,STEVE RICHARD HARRIS,31
77640,RICHARD SHEFFIELD-MACCLURE,Q4737508,ALUN RICHARDS,29
77640,RICHARD SHEFFIELD-MACCLURE,Q1416142,RICHARD MARTIN STERN,28
77640,RICHARD SHEFFIELD-MACCLURE,Q107233194,SOPHIE RICARD-HARVEY,27
77640,RICHARD SHEFFIELD-MACCLURE,Q1454098,RICHARD SCHICKEL,24
77640,RICHARD SHEFFIELD-MACCLURE,Q459264,RICHARD CLUNE,23
77640,RICHARD SHEFFIELD-MACCLURE,Q7327694,RICHARD MAURICE,16
