acmi_id,acmi_name,wikidata_id,wikidata_name,match
81086,NANSUN SHI,Q490635,SHIN HA-KYUN,56
81086,NANSUN SHI,Q86198105,AINO SUNI,52
81086,NANSUN SHI,Q16084163,SHIN BONG SEUNG,51
81086,NANSUN SHI,Q22114892,JOSH ARONSON,48
81086,NANSUN SHI,Q1582263,HANS SCHEIB,48
81086,NANSUN SHI,Q460799,SHIRLEY MASON,48
81086,NANSUN SHI,Q5789652,STIG HANSSON,47
81086,NANSUN SHI,Q110085,HANS SAHL,47
81086,NANSUN SHI,Q21170529,STIJN FRANSEN,46
81086,NANSUN SHI,Q265021,ANNE SHIRLEY,46
81086,NANSUN SHI,Q233848,ANN SHERIDAN,45
81086,NANSUN SHI,Q742300,HANS SCHERFIG,45
81086,NANSUN SHI,Q256958,ANN HUI,45
81086,NANSUN SHI,Q23712247,SHAMIMA NAZNEEN,45
81086,NANSUN SHI,Q490207,SHIN HYUN-JUN,45
81086,NANSUN SHI,Q469945,NASEERUDDIN SHAH,44
81086,NANSUN SHI,Q3521546,SHAJI N. KARUN,44
81086,NANSUN SHI,Q234104,SHIRLEY MANSON,44
81086,NANSUN SHI,Q3335772,NANSUN SHI,44
81086,NANSUN SHI,Q7499250,SHIVA RINDANI,43
81086,NANSUN SHI,Q5885116,STIG JOHANSON,43
81086,NANSUN SHI,Q4770677,ANSHUMAN JHA,43
81086,NANSUN SHI,Q331155,SHRUTI HAASAN,43
81086,NANSUN SHI,Q2456797,SHIRO SAGISU,42
81086,NANSUN SHI,Q6752284,MANU RISHI,42
81086,NANSUN SHI,Q55403,NAGISA OSHIMA,41
81086,NANSUN SHI,Q4977274,HANNY SCHEDIN,41
81086,NANSUN SHI,Q363049,SHI DONGSHAN,41
81086,NANSUN SHI,Q11005997,SALAH MANSOUR,41
81086,NANSUN SHI,Q3177199,TOSHIO MASUDA,41
81086,NANSUN SHI,Q236954,ANNA TSUCHIYA,40
81086,NANSUN SHI,Q52183,SHEIKH HASINA,40
81086,NANSUN SHI,Q4519307,ANTON SHAGIN,40
81086,NANSUN SHI,Q449763,STIG ANDERSON,40
81086,NANSUN SHI,Q16440089,ANNE SCHILTZ,40
81086,NANSUN SHI,Q1576075,HANNES SCHIEL,40
81086,NANSUN SHI,Q7493119,SHEILA NEVINS,40
81086,NANSUN SHI,Q9115240,NAN PAI SAN SHU,39
81086,NANSUN SHI,Q712734,YASUSHI INOUE,39
81086,NANSUN SHI,Q3980312,TAKESHI MASU,39
81086,NANSUN SHI,Q9425934,SHI JUAN,39
81086,NANSUN SHI,Q1265451,DUNCAN SHEIK,39
81086,NANSUN SHI,Q2723734,ANAND BAKSHI,39
81086,NANSUN SHI,Q12320295,JONAS SCHMIDT,39
81086,NANSUN SHI,Q106269438,SHAI AGOSIN,38
81086,NANSUN SHI,Q44737553,INANNA SARKIS,38
81086,NANSUN SHI,Q442114,ANNA SILK,38
81086,NANSUN SHI,Q11254710,SANSEI SHIOMI,38
81086,NANSUN SHI,Q71246985,HENRIK HANSEN,38
81086,NANSUN SHI,Q12496777,MANSYUR SYAH,38
81086,NANSUN SHI,Q1351905,HEIDI HANSEN,38
81086,NANSUN SHI,Q562128,NELSON SHIN,38
81086,NANSUN SHI,Q17386171,RAASHI KHANNA,38
81086,NANSUN SHI,Q3783619,HASSANI SHAPI,37
81086,NANSUN SHI,Q8274613,LI HANJUN,36
81086,NANSUN SHI,Q6080395,ISHITA ARUN,36
81086,NANSUN SHI,Q1344354,SHARIF ATKINS,36
81086,NANSUN SHI,Q4802169,ARUNA SHIELDS,36
81086,NANSUN SHI,Q7648987,SUSI GANESHAN,36
81086,NANSUN SHI,Q17492393,SHAJI NADESAN,36
81086,NANSUN SHI,Q47465195,ANU SHAH,35
81086,NANSUN SHI,Q5384743,IB HANSEN,35
81086,NANSUN SHI,Q22772693,SIV ANTONSEN,35
81086,NANSUN SHI,Q2003771,ANUP SONI,35
81086,NANSUN SHI,Q11629738,NANASE NISHINO,35
81086,NANSUN SHI,Q6132361,NANCY SIT,35
81086,NANSUN SHI,Q11429995,SHIZUE NATSUKAWA,34
81086,NANSUN SHI,Q107570448,SHILOH NELSON,34
81086,NANSUN SHI,Q242964,SOPHIE EVANS,33
81086,NANSUN SHI,Q7513244,SIGURD JANSEN,33
81086,NANSUN SHI,Q62036411,SENNIA NANUA,33
81086,NANSUN SHI,Q494352,HWANG IN-SHIK,32
81086,NANSUN SHI,Q5678262,HASAN RASHID,32
81086,NANSUN SHI,Q6096815,HANS SCHEIB,32
81086,NANSUN SHI,Q103819676,REYA SUNSHINE,32
81086,NANSUN SHI,Q7562993,SOPHIE EVANS,32
81086,NANSUN SHI,Q36832147,HANNA SCHEIBE,32
81086,NANSUN SHI,Q7524355,SINI ANDERSON,32
81086,NANSUN SHI,Q20819733,ARUN SAHA,32
81086,NANSUN SHI,Q20993799,NASREDDINE SHILI,31
81086,NANSUN SHI,Q41674263,HEIDI ARNESEN,31
