acmi_id,acmi_name,wikidata_id,wikidata_name,match
11153,CLIVE ATKINSON,Q1094759,CLAIRE ANDERSON,67
11153,CLIVE ATKINSON,Q20745672,CLAIRE CARLETON,64
11153,CLIVE ATKINSON,Q739542,CLAUDE AKINS,59
11153,CLIVE ATKINSON,Q155449,FAIZON LOVE,59
11153,CLIVE ATKINSON,Q4960,JASON LEE,56
11153,CLIVE ATKINSON,Q269835,EILEEN ATKINS,55
11153,CLIVE ATKINSON,Q558398,AL CLIVER,55
11153,CLIVE ATKINSON,Q8039943,WYLIE WATSON,54
11153,CLIVE ATKINSON,Q33283086,MARK ATKINSON,53
11153,CLIVE ATKINSON,Q2073741,PETER ATKINS,53
11153,CLIVE ATKINSON,Q1115062,JULIE GIBSON,53
11153,CLIVE ATKINSON,Q235328,ALISON BRIE,52
11153,CLIVE ATKINSON,Q442991,OLIVIA HARRISON,51
11153,CLIVE ATKINSON,Q532098,CHRISTOPHER ATKINS,51
11153,CLIVE ATKINSON,Q1811703,LEE ARONSOHN,51
11153,CLIVE ATKINSON,Q235066,LAURIE ANDERSON,51
11153,CLIVE ATKINSON,Q5044984,CAROLINE BLAKISTON,50
11153,CLIVE ATKINSON,Q227109,ZOE AKINS,50
11153,CLIVE ATKINSON,Q3276526,MAGALIE MADISON,50
11153,CLIVE ATKINSON,Q7149123,PAUL ATKINS,50
11153,CLIVE ATKINSON,Q5536481,GEORGE ATKINSON,49
11153,CLIVE ATKINSON,Q18589587,XAVIER ATKINS,48
11153,CLIVE ATKINSON,Q2237338,HARVEY ATKIN,48
11153,CLIVE ATKINSON,Q5647258,NATALIE KINGSTON,47
11153,CLIVE ATKINSON,Q720687,OLIVER NELSON,47
11153,CLIVE ATKINSON,Q1990727,ESSENCE ATKINS,47
11153,CLIVE ATKINSON,Q239187,GEMMA ATKINSON,47
11153,CLIVE ATKINSON,Q4773224,ANTHONY OLIVER,46
11153,CLIVE ATKINSON,Q19974330,VERA ALLINSON,46
11153,CLIVE ATKINSON,Q26168,ANTON LAVEY,46
11153,CLIVE ATKINSON,Q24049152,ROSIE ALISON,45
11153,CLIVE ATKINSON,Q298761,CLIVE BARKER,45
11153,CLIVE ATKINSON,Q967817,TRACE ADKINS,44
11153,CLIVE ATKINSON,Q455188,JAYNE ATKINSON,44
11153,CLIVE ATKINSON,Q278641,IVIE ANDERSON,44
11153,CLIVE ATKINSON,Q32999647,LAURIE DAVIDSON,44
11153,CLIVE ATKINSON,Q3350647,OLIVER DICKINSON,44
11153,CLIVE ATKINSON,Q1388393,OLIVIER MEGATON,44
11153,CLIVE ATKINSON,Q20684159,MICHAEL HANKINSON,43
11153,CLIVE ATKINSON,Q2020726,OLIVIA JACKSON,43
11153,CLIVE ATKINSON,Q92788,BILL ATKINSON,43
11153,CLIVE ATKINSON,Q900783,JASON LIVELY,43
11153,CLIVE ATKINSON,Q255203,JULIET ANDERSON,43
11153,CLIVE ATKINSON,Q2979416,CLIVE ASHBORN,43
11153,CLIVE ATKINSON,Q17985081,WILLIE WATSON,43
11153,CLIVE ATKINSON,Q19776610,OLIVIER MARTIN,43
11153,CLIVE ATKINSON,Q2979423,CLIVE ANDERSON,43
11153,CLIVE ATKINSON,Q6521832,LEN JANSON,42
11153,CLIVE ATKINSON,Q7441054,SEAN HANKINSON,42
11153,CLIVE ATKINSON,Q22772693,SIV ANTONSEN,42
11153,CLIVE ATKINSON,Q3699443,NICOLE ANISTON,42
