acmi_id,acmi_name,wikidata_id,wikidata_name,match
21155,BARRY LEITH,Q441159,BARBARA LEIGH-HUNT,60
21155,BARRY LEITH,Q4864570,BARRY NORTON,60
21155,BARRY LEITH,Q111777,NATHAN BARR,57
21155,BARRY LEITH,Q1294524,ERIC BARKER,56
21155,BARRY LEITH,Q111074,JOHN BARRY,54
21155,BARRY LEITH,Q1871557,LEWIS BRODY,54
21155,BARRY LEITH,Q298761,CLIVE BARKER,54
21155,BARRY LEITH,Q294927,JERRY LEWIS,54
21155,BARRY LEITH,Q520819,LEX BARKER,54
21155,BARRY LEITH,Q84340,HARRY LIEDTKE,53
21155,BARRY LEITH,Q230147,ETHEL BARRYMORE,53
21155,BARRY LEITH,Q113949,GARY LEWIS,53
21155,BARRY LEITH,Q2865227,ARTHUR MALET,53
21155,BARRY LEITH,Q433417,KEITH CARRADINE,53
21155,BARRY LEITH,Q4859089,BARBARA LEIGH,53
21155,BARRY LEITH,Q809066,BARRY MALKIN,52
21155,BARRY LEITH,Q807581,BARBARA PETRITSCH,52
21155,BARRY LEITH,Q2901028,SALEH BAKRI,52
21155,BARRY LEITH,Q443790,BARRY NELSON,52
21155,BARRY LEITH,Q1586852,HARRY WALDEN,51
21155,BARRY LEITH,Q49693652,SETH CARR,51
21155,BARRY LEITH,Q607678,BARRY CORBIN,51
21155,BARRY LEITH,Q63379049,BARRY SHILS,51
21155,BARRY LEITH,Q18205399,JOHN BARRETT,51
21155,BARRY LEITH,Q383064,ETHAN EMBRY,51
21155,BARRY LEITH,Q315604,BARRY PEPPER,51
21155,BARRY LEITH,Q3156345,IVOR BARRY,51
21155,BARRY LEITH,Q943028,LARRY MILLER,51
21155,BARRY LEITH,Q3181004,JOHN BARRETT,51
21155,BARRY LEITH,Q88212,HARRY NESTOR,51
21155,BARRY LEITH,Q3127855,HARRY LAUTER,51
21155,BARRY LEITH,Q3127854,HARRY LAUDER,50
21155,BARRY LEITH,Q7983849,WESLEY BARRY,50
21155,BARRY LEITH,Q2067715,EDITH BARRETT,50
21155,BARRY LEITH,Q211065,BARBARA LENNIE,50
21155,BARRY LEITH,Q6018309,MIRTHA IBARRA,50
21155,BARRY LEITH,Q1093706,LARRY THOMAS,50
21155,BARRY LEITH,Q519098,LUIS BARBERO,50
21155,BARRY LEITH,Q2885797,BARRY SHEAR,50
21155,BARRY LEITH,Q4864376,BARRY KELLEY,50
