acmi_id,acmi_name,wikidata_id,wikidata_name,match
37440,EDWARD BERNDS,Q1291693,EDWARD BERNDS,100
37440,EDWARD BERNDS,Q1291706,EDWARD BINNS,60
37440,EDWARD BERNDS,Q599249,BERNARD BLIER,58
37440,EDWARD BERNDS,Q1280760,WARD BOND,56
37440,EDWARD BERNDS,Q537854,MARK BERNES,55
37440,EDWARD BERNDS,Q5342719,EDWARD EARLE,53
37440,EDWARD BERNDS,Q987741,EDWARD BROPHY,53
37440,EDWARD BERNDS,Q265848,EDWARD CRONJAGER,53
37440,EDWARD BERNDS,Q522803,EDWARD ARNOLD,50
37440,EDWARD BERNDS,Q5337205,EDGAR DEARING,50
37440,EDWARD BERNDS,Q5342649,EDWARD DRYHURST,49
37440,EDWARD BERNDS,Q2897930,BERNARD FERIE,48
37440,EDWARD BERNDS,Q529568,EDWARD L. CAHN,48
37440,EDWARD BERNDS,Q6129444,JAMES EDWARD BARTON,48
37440,EDWARD BERNDS,Q2536344,ERNST WINAR,47
37440,EDWARD BERNDS,Q506292,EDWARD WARD,47
37440,EDWARD BERNDS,Q918625,EDWARD BOND,47
37440,EDWARD BERNDS,Q5341908,EDWARD BLACK,47
37440,EDWARD BERNDS,Q949337,EDWARD ALBERT,47
37440,EDWARD BERNDS,Q23059907,BERT WREDE,47
37440,EDWARD BERNDS,Q3269263,DAVID BERMAN,47
37440,EDWARD BERNDS,Q822410,BERNARD FARCY,46
37440,EDWARD BERNDS,Q1291862,EDWARD CARRERE,46
37440,EDWARD BERNDS,Q3057187,ERNEST STEWARD,46
37440,EDWARD BERNDS,Q5342402,EDWARD COOPER,46
37440,EDWARD BERNDS,Q17417934,BERND FISCHER,46
37440,EDWARD BERNDS,Q1291551,EDWARD ANHALT,46
37440,EDWARD BERNDS,Q5584847,RICHARD BRANDES,45
37440,EDWARD BERNDS,Q823409,BERND EILERT,45
37440,EDWARD BERNDS,Q3048431,EDWARD ANDREWS,45
37440,EDWARD BERNDS,Q712968,EDWARD WOODWARD,45
37440,EDWARD BERNDS,Q2347934,STEWART STERN,45
37440,EDWARD BERNDS,Q229166,AMBER HEARD,45
37440,EDWARD BERNDS,Q445115,HEATHER BURNS,45
37440,EDWARD BERNDS,Q99532,ERNST WALDOW,44
37440,EDWARD BERNDS,Q2740495,ROGER BERNARD,44
37440,EDWARD BERNDS,Q314485,EDWARD BURNS,44
37440,EDWARD BERNDS,Q2929192,BYRON STEWART,44
37440,EDWARD BERNDS,Q3156798,J. EDWARD BROMBERG,44
37440,EDWARD BERNDS,Q11872624,EDUARD DUBSKY,44
37440,EDWARD BERNDS,Q2543651,WALTER BERNSTEIN,44
37440,EDWARD BERNDS,Q2080113,PETRA BERNDT,44
37440,EDWARD BERNDS,Q350714,FRED WARD,44
37440,EDWARD BERNDS,Q56093,BLAKE EDWARDS,44
37440,EDWARD BERNDS,Q274227,EDOUARD BAER,43
37440,EDWARD BERNDS,Q5342307,EDWARD CLARK,43
37440,EDWARD BERNDS,Q721957,EDGAR BERGEN,43
37440,EDWARD BERNDS,Q2320489,EDOARDO BALLERINI,43
37440,EDWARD BERNDS,Q772999,HOWARD BENSON,43
37440,EDWARD BERNDS,Q1360584,ERNST WILD,43
37440,EDWARD BERNDS,Q92233,EWALD BALSER,43
37440,EDWARD BERNDS,Q2898292,BERNARD MARIS,42
37440,EDWARD BERNDS,Q19609649,HOWARD AVEDIS,42
37440,EDWARD BERNDS,Q4908882,BILL EDWARDS,42
37440,EDWARD BERNDS,Q17388323,EDGAR BRASIL,42
37440,EDWARD BERNDS,Q5590576,WILFRED BURNS,42
37440,EDWARD BERNDS,Q250539,EDWARD BUNKER,42
37440,EDWARD BERNDS,Q432366,EDWARD BUZZELL,42
37440,EDWARD BERNDS,Q1173818,DAVID BRANDON,42
37440,EDWARD BERNDS,Q21664342,EDWARDS DAVIS,42
37440,EDWARD BERNDS,Q743140,EDD BYRNES,42
37440,EDWARD BERNDS,Q3719462,EDMUND BURNS,42
37440,EDWARD BERNDS,Q15410616,EDWARD COLMANS,42
37440,EDWARD BERNDS,Q2897974,BERNARD GIRARD,42
37440,EDWARD BERNDS,Q513625,EWA BRAUN,41
37440,EDWARD BERNDS,Q95778606,ERNEST WALTER,41
37440,EDWARD BERNDS,Q445824,MEGAN WARD,41
37440,EDWARD BERNDS,Q716827,DAVID BERG,41
37440,EDWARD BERNDS,Q6068297,PEDRO BELTRAN,41
37440,EDWARD BERNDS,Q16198087,JAMES EDWARD BARKER,41
37440,EDWARD BERNDS,Q1291985,EDWARD CURTISS,41
37440,EDWARD BERNDS,Q3732108,ERNEST C. WARDE,41
37440,EDWARD BERNDS,Q5343983,EDWARD L. ALPERSON,41
37440,EDWARD BERNDS,Q2897646,BERNARD CARR,41
37440,EDWARD BERNDS,Q3047429,EDGAR BARRIER,41
37440,EDWARD BERNDS,Q1287398,EDOARDO BRUNO,41
37440,EDWARD BERNDS,Q5603777,EDWARD CHILDS CARPENTER,40
37440,EDWARD BERNDS,Q23762626,RANDY REDROAD,40
37440,EDWARD BERNDS,Q3845237,MARA BERNI,40
37440,EDWARD BERNDS,Q41531355,BEN GERRARD,40
