acmi_id,acmi_name,wikidata_id,wikidata_name,match
33162,THOM FITZGERALD,Q508225,THOM FITZGERALD,100
33162,THOM FITZGERALD,Q1510065,GERALDO,50
33162,THOM FITZGERALD,Q15455911,TOM HELD,50
33162,THOM FITZGERALD,Q1963814,GERALD OKAMURA,46
33162,THOM FITZGERALD,Q236396,GERALDINE FITZGERALD,45
33162,THOM FITZGERALD,Q3237290,LEWIS FITZ-GERALD,45
33162,THOM FITZGERALD,Q17628486,DAN FITZGERALD,44
33162,THOM FITZGERALD,Q3524807,THOM EBERHARDT,44
33162,THOM FITZGERALD,Q1889482,MATT GERALD,43
33162,THOM FITZGERALD,Q4819110,AUBREY FITZGERALD,40
33162,THOM FITZGERALD,Q670296,TODD FIELD,40
33162,THOM FITZGERALD,Q3012449,DALLAS M. FITZGERALD,40
33162,THOM FITZGERALD,Q3530819,TOM NEAL,38
33162,THOM FITZGERALD,Q740649,GERALD THOMAS,38
33162,THOM FITZGERALD,Q3178815,JIM GERALD,38
33162,THOM FITZGERALD,Q2038934,OTTO LUDWIG FRITZ GRAF,38
33162,THOM FITZGERALD,Q5549071,GERALD DI PEGO,37
33162,THOM FITZGERALD,Q6799249,TOM GAL,36
33162,THOM FITZGERALD,Q290666,BARRY FITZGERALD,36
33162,THOM FITZGERALD,Q272174,TARA FITZGERALD,36
33162,THOM FITZGERALD,Q450198,FERN FITZGERALD,35
33162,THOM FITZGERALD,Q95281583,THOMAS GERHOLD,35
33162,THOM FITZGERALD,Q2424038,THOMAS FRICKEL,35
33162,THOM FITZGERALD,Q959120,GERALD MOHR,35
33162,THOM FITZGERALD,Q100333,TOM GERHARDT,35
33162,THOM FITZGERALD,Q981101,TEHO TEARDO,35
33162,THOM FITZGERALD,Q16025030,PAUL FITZGERALD,35
33162,THOM FITZGERALD,Q710490,MICHAEL L. FITZGERALD,34
33162,THOM FITZGERALD,Q93354,F. SCOTT FITZGERALD,33
33162,THOM FITZGERALD,Q7816901,TOM MIRANDA,33
33162,THOM FITZGERALD,Q1433160,GLENN FITZGERALD,33
33162,THOM FITZGERALD,Q3123669,GERALD THOMASSIN,33
33162,THOM FITZGERALD,Q19878230,WILLA FITZGERALD,33
33162,THOM FITZGERALD,Q28497094,THEO FERNANDEZ,32
33162,THOM FITZGERALD,Q532457,EDWARD FITZGERALD,32
33162,THOM FITZGERALD,Q1768,ELLA FITZGERALD,31
33162,THOM FITZGERALD,Q3649957,CAITLIN FITZGERALD,31
33162,THOM FITZGERALD,Q6138004,MICHAEL FITZGERALD,31
33162,THOM FITZGERALD,Q61006630,SKYE FITZGERALD,31
33162,THOM FITZGERALD,Q2242274,GERARD THOOLEN,31
33162,THOM FITZGERALD,Q63725510,THOMAS FORSTER,30
33162,THOM FITZGERALD,Q7964835,WALTER FITZGERALD,29
33162,THOM FITZGERALD,Q70692366,ALTON FITZGERALD WHITE,29
33162,THOM FITZGERALD,Q1406801,TOM FISHER,29
33162,THOM FITZGERALD,Q5549581,GERALD SIM,27
33162,THOM FITZGERALD,Q2424061,THOMAS FRANZEL,27
33162,THOM FITZGERALD,Q47476890,MICHAEL FITZGERALD,27
33162,THOM FITZGERALD,Q427379,RONALD THOMAS,27
33162,THOM FITZGERALD,Q38402881,THOMAS GERHARDT,27
33162,THOM FITZGERALD,Q7647832,SUSAN FITZGERALD,27
33162,THOM FITZGERALD,Q318149,TOM FORD,27
33162,THOM FITZGERALD,Q92052582,RONALD THOMAS,26
33162,THOM FITZGERALD,Q7102987,ORLA FITZGERALD,26
33162,THOM FITZGERALD,Q8000188,WILBUR FITZGERALD,26
33162,THOM FITZGERALD,Q106375937,KIERAN FITZGERALD,25
33162,THOM FITZGERALD,Q23695803,TOM FERNANDEZ,25
33162,THOM FITZGERALD,Q107889263,RUITER THOMAS,25
33162,THOM FITZGERALD,Q6396280,KEVIN FITZGERALD,24
33162,THOM FITZGERALD,Q136687,TOMMY HILFIGER,24
33162,THOM FITZGERALD,Q66124569,MOLLIE FITZGERALD,24
33162,THOM FITZGERALD,Q1667759,PETER THOM,24
33162,THOM FITZGERALD,Q27050622,CAITLIN FITZGERALD,23
