acmi_id,acmi_name,wikidata_id,wikidata_name,match
36849,BIOGRAPH COMPANY,Q2910553,BOOTH COLMAN,45
36849,BIOGRAPH COMPANY,Q23767051,DEBORAH ROSAN,42
36849,BIOGRAPH COMPANY,Q3013022,DAN BIGRAS,40
36849,BIOGRAPH COMPANY,Q3020863,DEBORAH FOREMAN,40
36849,BIOGRAPH COMPANY,Q4980026,BRYAN COLEMAN,40
36849,BIOGRAPH COMPANY,Q4857437,BAOAN COLEMAN,39
36849,BIOGRAPH COMPANY,Q1181572,DEBORAH HOFFMANN,38
36849,BIOGRAPH COMPANY,Q273624,MANDY BRIGHT,37
36849,BIOGRAPH COMPANY,Q16731924,MANJU BORAH,36
36849,BIOGRAPH COMPANY,Q4953855,BRAD COPELAND,35
36849,BIOGRAPH COMPANY,Q7051988,NORMAN BOGNER,24
36849,BIOGRAPH COMPANY,Q7052285,NORMAN GRAHAM,24
36849,BIOGRAPH COMPANY,Q4916237,BIRGER NORMAN,0
