acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
83402,NABIL BARDAN,Q272144,BARAN KOSARI,SISTER,SHIRIN,50
83402,NABIL BARDAN,Q12247930,NABIL HIZAM,SISTER,Q12187887,0
83402,NABIL BARDAN,Q12274666,VASIL BANOV,SISTER,A SILENCE,40
83402,NABIL BARDAN,Q5951402,PARVIZ KARDAN,SISTER,Q14757010,0
83402,NABIL BARDAN,Q3418487,RAMIN BAHRANI,SISTER,7 PRISONERS,47
83402,NABIL BARDAN,Q4849932,BALAN K. NAIR,SISTER,THERUVU NARTHAKI,36
83402,NABIL BARDAN,Q7683304,TANIKELLA BHARANI,SISTER,MISTER,83
83402,NABIL BARDAN,Q6968248,NETALIE BRAUN,SISTER,THE HANGMAN,24
83402,NABIL BARDAN,Q17149840,NABIL MALEH,SISTER,AL-KOMPARS,12
83402,NABIL BARDAN,Q50345417,FARAH NABULSI,SISTER,THE PRESENT,35
83402,NABIL BARDAN,Q28839946,RAVI BHARGAVAN,SISTER,ORU KADHAL SEIVEER,33
83402,NABIL BARDAN,Q1800000,LADISLAV BERAN,SISTER,THE REBELS,38
83402,NABIL BARDAN,Q30068899,DANIEL BARTAK,SISTER,Q104894585,0
83402,NABIL BARDAN,Q176985,NIKOLAY ERDMAN,SISTER,THE CITY OF MASTERS,40
83402,NABIL BARDAN,Q10838330,WABI DANEK,SISTER,NEJVETSI Z CECHU,18
83402,NABIL BARDAN,Q78747611,BILLY BARRATT,SISTER,CRATER,50
83402,NABIL BARDAN,Q3793252,NADIA ARSLAN,SISTER,AS NOT TO FLY THE SMOKE,28
83402,NABIL BARDAN,Q3041852,NABILA EBEID,SISTER,THE OTHER,40
83402,NABIL BARDAN,Q310098,DAVID BRYAN,SISTER,NETHERWORLD,35
83402,NABIL BARDAN,Q84140371,KOBI AZRAN,SISTER,HONEYMOOD,13
83402,NABIL BARDAN,Q55428,NEIL JORDAN,SISTER,INTERMISSION,44
83402,NABIL BARDAN,Q2934850,CAMILLE BARDOU,SISTER,LES MYSTERES DE PARIS,37
83402,NABIL BARDAN,Q3437184,NILS AHREN,SISTER,THE CONFLICTS OF LIFE,30
83402,NABIL BARDAN,Q3511424,EMIL BURIAN,SISTER,Q12047074,0
83402,NABIL BARDAN,Q16222603,NEIL HARDIN,SISTER,BEHIND THE MASK,38
83402,NABIL BARDAN,Q6988311,NEIL BRAND,SISTER,AFTER DEATH,35
83402,NABIL BARDAN,Q5294068,DONALD BRIAN,SISTER,THE SMUGGLERS,42
83402,NABIL BARDAN,Q530562,BILLY BEVAN,SISTER,SLAVE SHIP,50
83402,NABIL BARDAN,Q7659502,SYBIL ARUNDALE,SISTER,THE CHINESE PUZZLE,33
83402,NABIL BARDAN,Q1159995,DANIEL B. CLARK,SISTER,SILVER VALLEY,42
83402,NABIL BARDAN,Q23953,MARIA BARD,SISTER,HUSBANDS OR LOVERS,33
83402,NABIL BARDAN,Q5572595,DANIEL BERGMAN,SISTER,Q18238289,0
83402,NABIL BARDAN,Q21070028,SARADA UKIL,SISTER,PREM SANYAS,24
83402,NABIL BARDAN,Q951649,NEAL BURNS,SISTER,DIVORCE MADE EASY,26
83402,NABIL BARDAN,Q716319,BILLY BARTY,SISTER,SNOW WHITE,50
83402,NABIL BARDAN,Q101079362,ADA DOHNAL,SISTER,BUSINESS UNDER DISTRESS,41
83402,NABIL BARDAN,Q5216570,DANIEL BIRT,SISTER,THE THREE WEIRD SISTERS,41
83402,NABIL BARDAN,Q18684154,ISABEL DAWN,SISTER,BEHIND THE NEWS,38
83402,NABIL BARDAN,Q3335514,NANA BRYANT,SISTER,THUNDER BIRDS,53
83402,NABIL BARDAN,Q113566,BARBARA O'NEIL,SISTER,STELLA DALLAS,42
83402,NABIL BARDAN,Q373306,ALAN NAPIER,SISTER,FIESTA,50
83402,NABIL BARDAN,Q7364630,RONALD ADAM,SISTER,CHRISTOPHER COLUMBUS,38
83402,NABIL BARDAN,Q12843340,NIYAZI BADALOV,SISTER,THE MOUNTAINS OF THE ISLAND,30
83402,NABIL BARDAN,Q3634662,BARBARA NARDI,SISTER,FATHER FOR A NIGHT,25
83402,NABIL BARDAN,Q503474,GABRIELE BALDINI,SISTER,"PROFESSOR, MY SON",27
83402,NABIL BARDAN,Q3240943,LILY BARON,SISTER,THE SEA ROSE,44
83402,NABIL BARDAN,Q3424924,RAGNA BREDA,SISTER,VIGDIS,33
83402,NABIL BARDAN,Q816429,BEN BARZMAN,SISTER,THE VISIT,40
83402,NABIL BARDAN,Q21418752,NINA BARA,SISTER,GILDA,18
83402,NABIL BARDAN,Q3308884,MICHEL ARDAN,SISTER,TOWARDS ECSTASY,38
83402,NABIL BARDAN,Q8239618,BADIA MASABNI,SISTER,Q42342956,0
83402,NABIL BARDAN,Q1957768,MILA BERAN,SISTER,PRIEHRADA,40
83402,NABIL BARDAN,Q22209730,NICOLE BESNARD,SISTER,AU ROYAUME DES CIEUX,23
83402,NABIL BARDAN,Q4077988,BARBARA GIL,SISTER,SABOR A MI,38
83402,NABIL BARDAN,Q2266226,DAVID BRIAN,SISTER,INSIDE STRAIGHT,48
83402,NABIL BARDAN,Q1982288,NEVILLE BRAND,SISTER,THE DESPERADOS,40
83402,NABIL BARDAN,Q28465837,LINA BARDO,SISTER,PAJAROS DE CRISTAL,42
83402,NABIL BARDAN,Q2850641,ANNABEL,SISTER,THE RED ROSE,33
83402,NABIL BARDAN,Q6043120,NINA BRIAND,SISTER,ELLOS NOS HICIERON ASI,36
83402,NABIL BARDAN,Q6077601,ISABEL DEAN,SISTER,THE WOMAN'S ANGLE,26
83402,NABIL BARDAN,Q2830131,ALAIN NOBIS,SISTER,LES MISERABLES,50
83402,NABIL BARDAN,Q2938872,CARL BRANDT,SISTER,SHOTGUN,31
83402,NABIL BARDAN,Q3650049,GABRIEL ARAGON,SISTER,Q22002007,0
83402,NABIL BARDAN,Q15064323,NIKOLAY BARMIN,SISTER,THEY CONQUER THE SKIES,36
83402,NABIL BARDAN,Q28065314,EDUARDO NOBILI,SISTER,ALIAS FLEQUILLO,29
83402,NABIL BARDAN,Q17505225,NIP BARUA,SISTER,SMRITIR PARASH,40
83402,NABIL BARDAN,Q194762,NEILE ADAMS,SISTER,CHU CHU AND THE PHILLY FLASH,24
83402,NABIL BARDAN,Q223613,MARGIT BARA,SISTER,THE HOUSE UNDER THE ROCKS,32
83402,NABIL BARDAN,Q432940,DANIEL BALDWIN,SISTER,SILICON TOWERS,50
83402,NABIL BARDAN,Q1022071,FRANK NAGAI,SISTER,NISHI GINZA STATION,32
83402,NABIL BARDAN,Q78613048,RABIUL ALAM,SISTER,AKASH AAR MATI,20
83402,NABIL BARDAN,Q1744455,WALT BARNES,SISTER,CLINT THE STRANGER,42
83402,NABIL BARDAN,Q3397288,BRIAN WILDE,SISTER,PORRIDGE,29
83402,NABIL BARDAN,Q17431741,RENGIN ARDA,SISTER,Q6055308,0
83402,NABIL BARDAN,Q12768929,KAROL BADANI,SISTER,Q12768004,0
83402,NABIL BARDAN,Q2986454,BRENDAN DILLON,SISTER,THE MOLLY MAGUIRES,33
83402,NABIL BARDAN,Q4908006,BILL BAIN,SISTER,FUNNEL WEB,12
83402,NABIL BARDAN,Q51105235,DONA BARTA,SISTER,Q44871934,0
83402,NABIL BARDAN,Q374818,ADRIANA AMBESI,SISTER,KATARSIS,43
83402,NABIL BARDAN,Q613429,NICOLA DI BARI,SISTER,HIGHEST PRESSURE,45
83402,NABIL BARDAN,Q1722553,PAUL BARON,SISTER,DARK PURPOSE,22
83402,NABIL BARDAN,Q7554628,SOHAIL RANA,SISTER,BEYOND THE LAST MOUNTAIN,27
83402,NABIL BARDAN,Q6095925,NILUFER AYDAN,SISTER,ISTANBUL'UN KIZLARI,32
83402,NABIL BARDAN,Q3334861,NADIA BARENTIN,SISTER,THE SMILE,53
