acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
66965,ONF | NFB,Q22639250,RON FABER,PRETEND YOU'RE WEARING A BARREL,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,JACKS OR BETTER,THE TREE OF GUERNICA,34
66965,ONF | NFB,Q22639250,RON FABER,MUSICANADA,THE TREE OF GUERNICA,27
66965,ONF | NFB,Q22639250,RON FABER,TILT,THE TREE OF GUERNICA,17
66965,ONF | NFB,Q22639250,RON FABER,FAREWELL OAK STREET,THE TREE OF GUERNICA,41
66965,ONF | NFB,Q22639250,RON FABER,MAN: THE POLLUTER,THE TREE OF GUERNICA,44
66965,ONF | NFB,Q22639250,RON FABER,STOLEN MOMENTS,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,OVER-DEPENDENCY,THE TREE OF GUERNICA,40
66965,ONF | NFB,Q22639250,RON FABER,THE DAYS OF WHISKEY GAP,THE TREE OF GUERNICA,51
66965,ONF | NFB,Q22639250,RON FABER,SEQUENCE AND STORY,THE TREE OF GUERNICA,42
66965,ONF | NFB,Q22639250,RON FABER,ACID FROM HEAVEN,THE TREE OF GUERNICA,39
66965,ONF | NFB,Q22639250,RON FABER,AROUND PERCEPTION,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,THE LUCKY ONES: ALLIED AIRMEN AND BUCHENWALD,THE TREE OF GUERNICA,35
66965,ONF | NFB,Q22639250,RON FABER,STORY OF PETER AND THE POTTER,THE TREE OF GUERNICA,45
66965,ONF | NFB,Q22639250,RON FABER,CHOOSING A LEADER,THE TREE OF GUERNICA,32
66965,ONF | NFB,Q22639250,RON FABER,I'LL FIND A WAY,THE TREE OF GUERNICA,29
66965,ONF | NFB,Q22639250,RON FABER,A PLEA FOR THE WANDERER,THE TREE OF GUERNICA,47
66965,ONF | NFB,Q22639250,RON FABER,KNOWING TO LEARN,THE TREE OF GUERNICA,33
