acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q12025678,JIRI STEDRON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],POPELKA,10
81824,ERIC MERTON,Q5499462,FREDRIK GERTTEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BIG BOYS GONE BANANAS!*,29
81824,ERIC MERTON,Q1351291,ERIC FELLNER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BRIDGET JONES: THE EDGE OF REASON,45
81824,ERIC MERTON,Q3491424,BEDRICH MOLDAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104898054,0
81824,ERIC MERTON,Q1352145,ERICH ERIKSEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ANNEMARIE AND HER CAVALRYMAN,33
81824,ERIC MERTON,Q5108075,CHRIS SIVERTSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ALL CHEERLEADERS DIE,26
81824,ERIC MERTON,Q50143848,ERIC WEBER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A JERSEY CHRISTMAS,26
81824,ERIC MERTON,Q1008264,MARTON GARAS,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],STRUGGLING HEARTS,22
81824,ERIC MERTON,Q1931644,MONIC HENDRICKX,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MOVING TRUE STORY OF A WOMAN AHEAD OF HER TIME,39
81824,ERIC MERTON,Q2023824,LOUIS MERCANTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MAID AT THE PALACE,38
81824,ERIC MERTON,Q105715835,ERIC PAUL ERICKSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ARCTIC APOCALYPSE,22
81824,ERIC MERTON,Q109839532,SIMEON MALEC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ME AND CELINE DION,28
81824,ERIC MERTON,Q6777645,MARTYN KEITH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],FOR THE TERM OF HIS NATURAL LIFE,38
81824,ERIC MERTON,Q5092409,CHERRY KEARTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A PRIMITIVE MAN'S CAREER TO CIVILIZATION,42
81824,ERIC MERTON,Q2899921,BESSIE EYTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],IN THE DAYS OF THE THUNDERING HERD,37
81824,ERIC MERTON,Q5973644,ERIC MALMBERG,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q10610893,0
81824,ERIC MERTON,Q3436964,ROBERTO ROBERTI,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MYSTERY OF ST. MARTIN'S BRIDGE,45
81824,ERIC MERTON,Q96321274,EDWIN MIDDLETON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE FLAMING SWORD,24
81824,ERIC MERTON,Q558933,MILTON BERLE,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],CAN HEIRONYMUS MERKIN EVER FORGET MERCY HUMPPE AND FIND TRUE HAPPINESS?,46
81824,ERIC MERTON,Q3495605,ERIC MJOBERG,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q18289948,0
81824,ERIC MERTON,Q31258,HENRI MURGER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LA VIE DE BOHEME,27
81824,ERIC MERTON,Q3726036,ENRICO ROMA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HUNT,10
81824,ERIC MERTON,Q6832927,MICHAEL MORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],ON WITH THE DANCE,26
81824,ERIC MERTON,Q76936986,ERICH SAGERT,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q20495011,0
81824,ERIC MERTON,Q3806479,JAMES C. MORTON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],A PAIN IN THE PULLMAN,34
81824,ERIC MERTON,Q1353018,ERICH RAHN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MIDNIGHT,15
