acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
24289,KAY WRIGHT,Q6267939,JOHNNY WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,JONAS BROTHERS: THE 3D CONCERT EXPERIENCE,42
24289,KAY WRIGHT,Q522057,EDGAR WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE HITCHHIKER'S GUIDE TO THE GALAXY,44
24289,KAY WRIGHT,Q28421786,PHILIP WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,FREEGARD,23
24289,KAY WRIGHT,Q27489535,LETITIA WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,DEATH ON THE NILE,42
24289,KAY WRIGHT,Q7818105,THOMAS M. WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE MAN WITH THE IRON HEART,50
24289,KAY WRIGHT,Q61990223,CHRIS WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,HEIMAT IS A SPACE IN TIME,40
24289,KAY WRIGHT,Q35985513,KAI VOIGT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,WILHELM TELL,25
24289,KAY WRIGHT,Q4800758,ARTHUR WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,IN THE LAST STRIDE,51
24289,KAY WRIGHT,Q29025389,KARL WIEGHORST,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,Q20494501,0
24289,KAY WRIGHT,Q15043902,FRED E. WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE LITTLE SHEPHERD OF BARGAIN ROW,48
24289,KAY WRIGHT,Q4018042,WALTER WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,A BIRD'S A BIRD,30
24289,KAY WRIGHT,Q21014816,GEORGE A. WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE CATSPAW,25
24289,KAY WRIGHT,Q5639009,HAIDEE WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE OLD COUNTRY,30
24289,KAY WRIGHT,Q6763059,MARIE WAINWRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,POLLY WITH A PAST,32
24289,KAY WRIGHT,Q5930636,HUGH E. WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE OLD CURIOSITY SHOP,42
24289,KAY WRIGHT,Q5179764,COWLEY WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,ERNEST MALTRAVERS,32
24289,KAY WRIGHT,Q4895663,BERTIE WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,A DEAR FOOL,29
24289,KAY WRIGHT,Q3274696,MACK V. WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE GREAT ADVENTURES OF WILD BILL HICKOK,61
24289,KAY WRIGHT,Q50825364,FRED WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE NORWOOD BUILDER,38
24289,KAY WRIGHT,Q18590033,TENNY WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,THE TELEGRAPH TRAIL,41
24289,KAY WRIGHT,Q2895601,BEN WRIGHT,THE GREATEST ADVENTURE STORIES FROM THE BIBLE,JOURNEY TO THE CENTER OF THE EARTH,53
