acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,MAPPINGS,AUGUST,43
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,VISION IN MATHEMATICS: THE UNIT CIRCLE,THE TRUTH ABOUT EMANUEL,40
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,PARABOLA,PALINDROMES,42
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,VISION IN MATHEMATICS: MORE ANGLES IN A CIRCLE,LOVE DOES GROW ON TREES,38
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,GINGER MEGGS,PALINDROMES,52
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,ANGLES ON AN ARC,A RATIONAL SOLUTION,46
10246,JONATHON DAWSON,Q1386443,NATHAN LARSON,PYTHAGORAS IN 3D,DIRTY PRETTY THINGS,51
10246,JONATHON DAWSON,Q3809849,JON ALSTON,MAPPINGS,RED BUTTERFLY,0
10246,JONATHON DAWSON,Q3809849,JON ALSTON,VISION IN MATHEMATICS: THE UNIT CIRCLE,RED BUTTERFLY,16
10246,JONATHON DAWSON,Q3809849,JON ALSTON,PARABOLA,RED BUTTERFLY,19
10246,JONATHON DAWSON,Q3809849,JON ALSTON,VISION IN MATHEMATICS: MORE ANGLES IN A CIRCLE,RED BUTTERFLY,21
10246,JONATHON DAWSON,Q3809849,JON ALSTON,GINGER MEGGS,RED BUTTERFLY,32
10246,JONATHON DAWSON,Q3809849,JON ALSTON,ANGLES ON AN ARC,RED BUTTERFLY,21
10246,JONATHON DAWSON,Q3809849,JON ALSTON,PYTHAGORAS IN 3D,RED BUTTERFLY,14
10246,JONATHON DAWSON,Q18172006,JONATHAN DANTY,MAPPINGS,DIEUX DU STADE: MAKING OF THE 2017 CALENDAR,24
10246,JONATHON DAWSON,Q18172006,JONATHAN DANTY,VISION IN MATHEMATICS: THE UNIT CIRCLE,DIEUX DU STADE: MAKING OF THE 2017 CALENDAR,35
10246,JONATHON DAWSON,Q18172006,JONATHAN DANTY,PARABOLA,DIEUX DU STADE: MAKING OF THE 2017 CALENDAR,20
