acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38859,ALAN SMITH,Q7530685,SIRUS ALVAND,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,Q5708489,0
38859,ALAN SMITH,Q6935255,MUMAITH KHAN,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,EVADAITHE NAKENTI,30
38859,ALAN SMITH,Q5926784,AMAN MANTEGHI,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,Q5747550,0
38859,ALAN SMITH,Q489831,KEVIN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,AN EVENING WITH KEVIN SMITH,49
38859,ALAN SMITH,Q12036761,MICHAL MALATNY,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,NEVINNE LZI,30
38859,ALAN SMITH,Q95314439,MAIT LAAS,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,LOST AND FOUND,32
38859,ALAN SMITH,Q72379,MARLENE SCHMIDT,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE TEACHER,37
38859,ALAN SMITH,Q24852581,SAM QUALIANA,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,LAKE EFFECT,19
38859,ALAN SMITH,Q46512764,LYNN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,IN THE CENTER RING,49
38859,ALAN SMITH,Q1928381,MICHAEL LANGE,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE INTERN,34
38859,ALAN SMITH,Q59268377,BOB SMITH JNR,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,DIABOLO,16
38859,ALAN SMITH,Q12408700,LIRIT BALABAN,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE BALLAD OF THE WEEPING SPRING,40
38859,ALAN SMITH,Q4279446,SRIKANTH ADDALA,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,SEETHAMMA VAKITLO SIRIMALLE CHETTU,31
