acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38610,THUNDERBIRD FILMS,Q1608254,HERBERT FIELDS,THE PAWNSHOP; THE FLOORWALKER; THE RINK; ONE A.M.,THE LUCKIEST GIRL IN THE WORLD,40
38610,THUNDERBIRD FILMS,Q7335084,RINO THUNDER,THE PAWNSHOP; THE FLOORWALKER; THE RINK; ONE A.M.,HOT SHOTS!,22
38610,THUNDERBIRD FILMS,Q72882484,MILES TURNER,THE PAWNSHOP; THE FLOORWALKER; THE RINK; ONE A.M.,KCHI-NENDIZAN (BIG PRIDE),32
