acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
31731,CARLTON U K TELEVISION,Q21208494,CARLTON S. KING,REBECCA,TEMPEST AND SUNSHINE,15
31731,CARLTON U K TELEVISION,Q312628,CARLO LEVI,REBECCA,PIETRO MICCA,32
31731,CARLTON U K TELEVISION,Q80739,CHARLTON HESTON,REBECCA,THE BUCCANEER,40
31731,CARLTON U K TELEVISION,Q6004991,CARL NELSON,REBECCA,Q10437073,0
31731,CARLTON U K TELEVISION,Q1607011,EMILIO CARTON,REBECCA,SUNDAY HEROES,30
31731,CARLTON U K TELEVISION,Q4796806,ART ELLISON,REBECCA,CARNIVAL OF SOULS,17
31731,CARLTON U K TELEVISION,Q5750723,CARLOS LEON,REBECCA,MUSEO DEL HORROR,17
31731,CARLTON U K TELEVISION,Q6530692,LESLIE CARLSON,REBECCA,BLACK CHRISTMAS,36
31731,CARLTON U K TELEVISION,Q6395981,KEVIN CARLSON,REBECCA,THEODORE REX,32
31731,CARLTON U K TELEVISION,Q274722,ELISE CARON,REBECCA,THE PERFECT GUY,27
31731,CARLTON U K TELEVISION,Q444652,CARL LEVIN,REBECCA,THE LIFE AND TIMES OF HANK GREENBERG,23
31731,CARLTON U K TELEVISION,Q4343020,CARLOS LEON,REBECCA,ANNE B. REAL,44
31731,CARLTON U K TELEVISION,Q87190207,CARLO SIGON,REBECCA,THE BODYGUARD'S CURE,22
31731,CARLTON U K TELEVISION,Q24006302,CARLOS KLEIN,REBECCA,WHERE THE CONDORS FLY,21
