acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
39047,JUDY SIERS,Q64153398,DIANA SILVERS,EYE OF THE OCTOPUS,BIRDS OF PARADISE,34
39047,JUDY SIERS,Q210120,JULIA STILES,EYE OF THE OCTOPUS,THE CRY OF THE OWL,50
39047,JUDY SIERS,Q89609,DAGNY SERVAES,EYE OF THE OCTOPUS,THE LOVES OF PHARAOH,47
39047,JUDY SIERS,Q730318,LOUIS SILVERS,EYE OF THE OCTOPUS,THE COUNTRY DOCTOR,56
39047,JUDY SIERS,Q21482508,BUDDY MESSINGER,EYE OF THE OCTOPUS,THREE OF A KIND,48
39047,JUDY SIERS,Q4483122,AUDREY FERRIS,EYE OF THE OCTOPUS,WOMEN THEY TALK ABOUT,36
39047,JUDY SIERS,Q7507909,SID SILVERS,EYE OF THE OCTOPUS,BROADWAY MELODY OF 1936,29
39047,JUDY SIERS,Q153120,RUDOLF SIEBER,EYE OF THE OCTOPUS,BAD GIRL,8
39047,JUDY SIERS,Q18638557,GUY USHER,EYE OF THE OCTOPUS,LAW BEYOND THE RANGE,42
39047,JUDY SIERS,Q981630,JAY SILVERHEELS,EYE OF THE OCTOPUS,THE BLACK DAKOTAS,46
39047,JUDY SIERS,Q5392984,ERNEST DUDLEY,EYE OF THE OCTOPUS,THE ARMCHAIR DETECTIVE,40
39047,JUDY SIERS,Q20738374,GUY WILKERSON,EYE OF THE OCTOPUS,THE RED BADGE OF COURAGE,57
39047,JUDY SIERS,Q2683316,JO SPIER,EYE OF THE OCTOPUS,TEREZIN: A DOCUMENTARY FILM FROM THE JEWISH SETTLEMENT AREA,32
39047,JUDY SIERS,Q5952558,JUAN SIRES,EYE OF THE OCTOPUS,CUBITOS DE HIELO,47
39047,JUDY SIERS,Q95883607,EDUARD SPIESS,EYE OF THE OCTOPUS,Q97960865,0
39047,JUDY SIERS,Q11719661,JAN SWIDERSKI,EYE OF THE OCTOPUS,Q11735694,0
39047,JUDY SIERS,Q271644,JUDY TYLER,EYE OF THE OCTOPUS,JAILHOUSE ROCK,31
39047,JUDY SIERS,Q1001240,BUDDY LESTER,EYE OF THE OCTOPUS,THE LADIES MAN,44
39047,JUDY SIERS,Q3163264,JAY SOMMERS,EYE OF THE OCTOPUS,ALL HANDS ON DECK,29
39047,JUDY SIERS,Q12173026,JURAJ SPITZER,EYE OF THE OCTOPUS,WHITE CLOUDS,47
39047,JUDY SIERS,Q2092790,PIERICK HOUDY,EYE OF THE OCTOPUS,THE BACKSTREET SIX,44
39047,JUDY SIERS,Q5311876,DUDLEY FOSTER,EYE OF THE OCTOPUS,THE LITTLE ONES,48
39047,JUDY SIERS,Q3810979,JUDI WEST,EYE OF THE OCTOPUS,THE FORTUNE COOKIE,50
39047,JUDY SIERS,Q3187917,JUD KINBERG,EYE OF THE OCTOPUS,THE MAGUS,44
39047,JUDY SIERS,Q6304547,JUDY PACE,EYE OF THE OCTOPUS,COTTON COMES TO HARLEM,40
39047,JUDY SIERS,Q3188040,JUDY MATHESON,EYE OF THE OCTOPUS,THE FLESH AND BLOOD SHOW,48
39047,JUDY SIERS,Q3616565,ANDY SIDARIS,EYE OF THE OCTOPUS,THE DALLAS CONNECTION,46
39047,JUDY SIERS,Q92262,JUDY WINTER,EYE OF THE OCTOPUS,WOMAN DOCTORS,45
39047,JUDY SIERS,Q4412626,JERZY SIEWIERSKI,EYE OF THE OCTOPUS,Q11688977,0
39047,JUDY SIERS,Q524821,JUDY MORRIS,EYE OF THE OCTOPUS,THE EYE OF THE STORM,63
39047,JUDY SIERS,Q316857,JERRY STILLER,EYE OF THE OCTOPUS,SECRET OF THE ANDES,49
39047,JUDY SIERS,Q3161756,JAN SMITHERS,EYE OF THE OCTOPUS,WHERE THE LILIES BLOOM,35
39047,JUDY SIERS,Q1988458,GUIDO PIETERS,EYE OF THE OCTOPUS,THE BLACK METEOR,41
39047,JUDY SIERS,Q3383901,PIERRE BAUDRY,EYE OF THE OCTOPUS,VOYAGE TO CYTHERA,46
39047,JUDY SIERS,Q1290207,JOEY SILVERA,EYE OF THE OCTOPUS,THE CATWOMAN,47
39047,JUDY SIERS,Q472487,BUDDY MILES,EYE OF THE OCTOPUS,THE BUDDY HOLLY STORY,46
39047,JUDY SIERS,Q1702399,JOHNNY RIVERS,EYE OF THE OCTOPUS,SGT. PEPPER'S LONELY HEARTS CLUB BAND,30
39047,JUDY SIERS,Q1319653,JAY O. SANDERS,EYE OF THE OCTOPUS,MUSIC OF THE HEART,61
39047,JUDY SIERS,Q61768225,JONNY SILVER,EYE OF THE OCTOPUS,Q61768221,0
39047,JUDY SIERS,Q16733006,JUDY MUNSEN,EYE OF THE OCTOPUS,"WHAT HAVE WE LEARNED, CHARLIE BROWN?",23
39047,JUDY SIERS,Q315758,ANDY SUMMERS,EYE OF THE OCTOPUS,END OF THE LINE,55
39047,JUDY SIERS,Q4356117,JUDY LANDERS,EYE OF THE OCTOPUS,CLUB FED,38
