acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77734,LEW GRIFFITHS,Q432437,KATHY GRIFFIN,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),JOAN RIVERS: A PIECE OF WORK,35
77734,LEW GRIFFITHS,Q2422535,KATHERINE GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE WOMAN THOU GAVEST ME,38
77734,LEW GRIFFITHS,Q51123,D. W. GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE GREATEST THING IN LIFE,45
77734,LEW GRIFFITHS,Q105754898,HARRY GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),SHOES,14
77734,LEW GRIFFITHS,Q6535975,LEW FIELDS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE MAN WHO STOOD STILL,39
77734,LEW GRIFFITHS,Q5771549,RAYMOND GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),LADIES THEY TALK ABOUT,39
77734,LEW GRIFFITHS,Q7965405,WALTER L. GRIFFIN,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THEN CAME THE WOMAN,36
77734,LEW GRIFFITHS,Q11685199,JOHN GRIFFITH WRAY,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE WINDING STAIR,37
77734,LEW GRIFFITHS,Q15436968,GRITTA LEY,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),"GIRLS, BEWARE!",24
77734,LEW GRIFFITHS,Q20738373,HERBERT GRIFFITHS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),SUCH IS THE LAW,29
77734,LEW GRIFFITHS,Q21472860,JULIA GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),TEXAS TERROR,18
77734,LEW GRIFFITHS,Q11203370,GRIFFITH JONES,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE WIFE OF GENERAL LING,44
77734,LEW GRIFFITHS,Q676629,KENNETH GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE ENGLISHMAN WHO WENT UP A HILL BUT CAME DOWN A MOUNTAIN,45
77734,LEW GRIFFITHS,Q3661794,JAMES GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),A LION IS IN THE STREETS,44
77734,LEW GRIFFITHS,Q3035784,DON GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),SO DEAR TO MY HEART,33
77734,LEW GRIFFITHS,Q310934,HUGH GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),"ON MY WAY TO THE CRUSADES, I MET A GIRL WHO...",46
77734,LEW GRIFFITHS,Q598344,MERV GRIFFIN,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE MAN WITH TWO BRAINS,44
77734,LEW GRIFFITHS,Q20974087,FRED GRIFFITHS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE WOMAN'S ANGLE,39
77734,LEW GRIFFITHS,Q3807006,JANE GRIFFITHS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),THE MILLION POUND NOTE,32
77734,LEW GRIFFITHS,Q312252,ANDY GRIFFITH,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),CHRISTMAS IS HERE AGAIN,42
77734,LEW GRIFFITHS,Q18358950,JANE GRIFFITHS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),TREAD SOFTLY STRANGER,29
77734,LEW GRIFFITHS,Q6698339,LUCY GRIFFITHS,WALKING TOGETHER; TALKIN' BUSINESS; MAKING THINGS RIGHT (A),FRANKENSTEIN AND THE MONSTER FROM HELL,41
