acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
22767,RICHARD HUNN,Q19665070,RICHARD M. NATHAN,MAKING THE NEWS; ABC NEWS,ANGADI THERU,39
22767,RICHARD HUNN,Q6108639,RICHARD GOMEZ,MAKING THE NEWS; ABC NEWS,THE LOVE AFFAIR,46
22767,RICHARD HUNN,Q7324736,RICHARD CHIZMAR,MAKING THE NEWS; ABC NEWS,LAKE EFFECT,29
22767,RICHARD HUNN,Q295847,RICHARD CHAMBERLAIN,MAKING THE NEWS; ABC NEWS,KING SOLOMON'S MINES,50
22767,RICHARD HUNN,Q95325186,REINHARD KAHN,MAKING THE NEWS; ABC NEWS,Q43043479,0
22767,RICHARD HUNN,Q3431173,RICHARD ROY,MAKING THE NEWS; ABC NEWS,FLIRTING WITH DANGER,41
22767,RICHARD HUNN,Q3189104,JULIAN RICHARDS,MAKING THE NEWS; ABC NEWS,THE LAST HORROR MOVIE,40
22767,RICHARD HUNN,Q28724515,RICHARD OH,MAKING THE NEWS; ABC NEWS,27 STEPS OF MAY,41
22767,RICHARD HUNN,Q449959,RICHARD KIND,MAKING THE NEWS; ABC NEWS,ELVIS HAS LEFT THE BUILDING,51
22767,RICHARD HUNN,Q101249050,JAN RICHTER,MAKING THE NEWS; ABC NEWS,THE COMEDIAN'S PRINCESS,60
22767,RICHARD HUNN,Q40035,RICHARD LINKLATER,MAKING THE NEWS; ABC NEWS,MAKING A SCENE,63
22767,RICHARD HUNN,Q315243,PIERRE RICHARD,MAKING THE NEWS; ABC NEWS,A CLOUD IN THE TEETH,55
22767,RICHARD HUNN,Q95148728,RICHARD FIALA,MAKING THE NEWS; ABC NEWS,DONT STOP,24
22767,RICHARD HUNN,Q3430559,RICHARD BOUTET,MAKING THE NEWS; ABC NEWS,THE BALLAD OF HARD TIMES,38
22767,RICHARD HUNN,Q14923557,RICHARD NEDVED,MAKING THE NEWS; ABC NEWS,Q104896409,0
22767,RICHARD HUNN,Q121175,RICHARD ANGST,MAKING THE NEWS; ABC NEWS,THE BIG SHADOW,53
22767,RICHARD HUNN,Q1333118,RICHARD AYOADE,MAKING THE NEWS; ABC NEWS,ARCTIC MONKEYS AT THE APOLLO,50
22767,RICHARD HUNN,Q117866,RICHARD DINDO,MAKING THE NEWS; ABC NEWS,DEATH AND INQUIRY IN WINTERTHUR,44
22767,RICHARD HUNN,Q1342829,RICHARD HEINBERG,MAKING THE NEWS; ABC NEWS,PLANET OF THE HUMANS,50
