acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
74576,FLOYD ELLIOTT,Q211280,RAY LIOTTA,DRINKING,TEXAS RISING,50
74576,FLOYD ELLIOTT,Q211280,RAY LIOTTA,A FIGHT FOR BREATH: EMPHYSEMA,FIELD OF DREAMS,47
74576,FLOYD ELLIOTT,Q6846685,MIKE ELLIOTT,DRINKING,BENEDICTION,42
74576,FLOYD ELLIOTT,Q6846685,MIKE ELLIOTT,A FIGHT FOR BREATH: EMPHYSEMA,WEREWOLF: THE BEAST AMONG US,44
74576,FLOYD ELLIOTT,Q109742888,ELLIOTT SIMON,DRINKING,THE MENTOR,11
74576,FLOYD ELLIOTT,Q109742888,ELLIOTT SIMON,A FIGHT FOR BREATH: EMPHYSEMA,WAYS OF YESTERDAY,31
74576,FLOYD ELLIOTT,Q470123,LYDA BORELLI,DRINKING,LA VALIGIA DEI SOGNI,36
74576,FLOYD ELLIOTT,Q470123,LYDA BORELLI,A FIGHT FOR BREATH: EMPHYSEMA,THE WEDDING MARCH,40
74576,FLOYD ELLIOTT,Q16029312,WILLIAM ELLIOTT,DRINKING,THE FORTUNE HUNTER,23
74576,FLOYD ELLIOTT,Q16029312,WILLIAM ELLIOTT,A FIGHT FOR BREATH: EMPHYSEMA,THE FORTUNE HUNTER,30
74576,FLOYD ELLIOTT,Q5486455,FRANK ELLIOTT,DRINKING,PRIDE AND PREJUDICE,30
74576,FLOYD ELLIOTT,Q5486455,FRANK ELLIOTT,A FIGHT FOR BREATH: EMPHYSEMA,THE IMPOSSIBLE MRS. BELLEW,38
74576,FLOYD ELLIOTT,Q6548106,LILLIAN ELLIOTT,DRINKING,HELP WANTED,11
74576,FLOYD ELLIOTT,Q6548106,LILLIAN ELLIOTT,A FIGHT FOR BREATH: EMPHYSEMA,BOYS' REFORMATORY,41
74576,FLOYD ELLIOTT,Q3435044,ROBERT ELLIOTT,DRINKING,THE FINGER POINTS,32
74576,FLOYD ELLIOTT,Q3435044,ROBERT ELLIOTT,A FIGHT FOR BREATH: EMPHYSEMA,THE GHOST BREAKERS,48
