agent_id,agent_label,work_id,work_label
Q433960,Ralph Thomas,Q4657,Percy
Q16012937,Ray Cameron,Q4733,Bloodbath at the House of Death
Q433960,Ralph Thomas,Q4815,Percy's Progress
Q29442224,Jonathan auf der Heide,Q24154,Van Diemen's Land
Q25078,Terry Gilliam,Q25057,Brazil
Q521691,Ruben Fleischer,Q27751,Gangster Squad
Q726024,Vincent Ward,Q32424,Map of the Human Heart
Q1320761,Mark Steven Johnson,Q41754,Ghost Rider
Q358322,Don Siegel,Q49398,The Black Windmill
Q230448,Jane Campion,Q59572,In the Cut
Q508248,Andrew V. McLaglen,Q64211,The Wild Geese
Q944198,John Stockwell,Q74319,Dark Tide
Q9544977,Lilly Wachowski,Q83495,The Matrix
Q9545711,Lana Wachowski,Q83495,The Matrix
Q2160854,Rod Hardy,Q83730,December Boys
Q113119050,Jody Dwyer,Q115394,Dying Breed
Q2719725,Stuart Beattie,Q115993,"Tomorrow, When the War Began"
Q230448,Jane Campion,Q117315,The Piano
Q43203,Clint Eastwood,Q126699,Gran Torino
Q446960,George Miller,Q126800,Happy Feet
Q358804,John Duigan,Q127665,Flirting
Q504503,Andrew Dominik,Q128855,Chopper
Q230448,Jane Campion,Q143835,Holy Smoke!
Q470260,Griffin Dunne,Q148429,Practical Magic
Q3076237,Peter Sasdy,Q151715,Nothing But the Night
Q1332531,Ellory Elkayem,Q151946,Eight Legged Freaks
Q2063309,Timo Vuorensola,Q158398,Iron Sky
Q1374169,Rolf de Heer,Q169087,Ten Canoes
Q309715,Roland Joffé,Q172260,Singularity
Q1652154,Mark Levin,Q177340,Nim's Island
Q1702691,Jennifer Flackett,Q177340,Nim's Island
Q119348,Irvin Kershner,Q180279,Never Say Never Again
Q552814,John Hillcoat,Q180337,The Proposition
Q1374169,Rolf de Heer,Q180363,Alexandra's Project
Q250545,Baz Luhrmann,Q193573,Moulin Rouge!
Q470601,Michael Radford,Q194728,"Another Time, Another Place"
Q518868,Dennis Dugan,Q198451,Saving Silverman
Q2094420,Stephan Elliott,Q198560,A Few Best Men
Q192990,Guy Ritchie,Q200396,Sherlock Holmes
Q51506,Richard Attenborough,Q202211,Gandhi
Q2397306,Michael Rymer,Q202982,Queen of the Damned
Q103917,Steven Soderbergh,Q205447,Ocean's Eleven
Q9544977,Lilly Wachowski,Q207536,The Matrix Revolutions
Q9545711,Lana Wachowski,Q207536,The Matrix Revolutions
Q538578,Hugh Hudson,Q207921,Chariots of Fire
Q56008,Tim Burton,Q218235,Charlie and the Chocolate Factory
Q561387,Francis Lawrence,Q219150,Constantine
Q43203,Clint Eastwood,Q221586,Mystic River
Q3328027,Murali K. Thalluri,Q221992,2:37
Q230448,Jane Campion,Q232181,Two Friends
Q192990,Guy Ritchie,Q243643,Sherlock Holmes: A Game of Shadows
Q446960,George Miller,Q248775,Mad Max
Q2094420,Stephan Elliott,Q255328,"The Adventures of Priscilla, Queen of the Desert"
Q944763,Peyton Reed,Q269887,Yes Man
Q250545,Baz Luhrmann,Q275180,Australia
Q6988244,Neil Armfield,Q280928,Candy
Q3498963,Steve Jacobs,Q281830,Disgrace
Q2924898,Brian Gilbert,Q285024,The Frog Prince
Q5537604,George C. Wolfe,Q287385,Nights in Rodanthe
Q740649,Gerald Thomas,Q302927,Carry On Dick
Q9544977,Lilly Wachowski,Q312078,Speed Racer
Q9545711,Lana Wachowski,Q312078,Speed Racer
Q303891,Lewis Gilbert,Q320423,The Spy Who Loved Me
Q56008,Tim Burton,Q323318,Dark Shadows
Q722023,Julien Temple,Q332394,Absolute Beginners
