agent_id,agent_label,work_id,work_label
12785,Howard Hughes,65139,The Australian plague locust
7252,Trevor Graham,84507,Before death us do part: a do-it-yourself guide to divorce
13776,Jack Lee,82148,Belinda
22078,Harvey Broadbent,79710,Gallipoli - the Fatal Shore (Captioned)
12170,Suzanne Baker,71106,On the move
20692,Paul Cox,80041,Vincent
12016,David Bairstow,65364,Better pastures - better beef
22134,Bill Hughes,92666,The Interview [DVD]
27942,Peter Duncan,85922,Children of the revolution
12787,John Gray,96563,Hospital at work
76455,Gary Hannam,79707,The Navigator: A Medieval Odyssey (Captioned)
10975,Mark Lewis,79708,Cane toads: an unnatural history (Captioned)
12648,John Taylor,82057,The Huge adventures of Trevor a cat; Trevor Island
34038,Andrew Dominik,92492,Chopper [DVD] (D)
7927,Jan Sharp,75332,Kerry
8745,Nigel Buesst,66648,Daydreams (TEFC)
12170,Suzanne Baker,72858,"Sister, if you only knew"
11966,David Corke,86309,Migration: the first week
84851,Daniel von Sturmer,109407,Short band video
20706,Humphrey McQueen,77730,The Bloodhouse
12521,Lee Robinson,74512,Water: our problem
21443,Michael Pattinson,80015,Moving Out
12170,Suzanne Baker,69982,The Magic arts
15528,Bruce Petty,69982,The Magic arts
20701,Ted Robinson,79004,How to avoid decisions
12797,Donald Crombie,96112,It's so easy. - [rev. ed.]
12064,Gil Brealey,69517,Late Winter to Early Spring
10225,Jackie McKimmie,77925,Stations
15007,Ken Hannam,80984,Summerfield
76583,Bruce Myles,80013,Ground Zero
21443,Michael Pattinson,80013,Ground Zero
77502,Posie Graeme-Evans,84531,The Miraculous Mellops 2. Part 4
10983,Karl Zwicky,84531,The Miraculous Mellops 2. Part 4
84293,Charles Hayes,118274,[Charles Hayes Home Movies: Reel 10]
74658,Yoram Gross,75406,Good buy
11274,Richard Wherrett,86860,Billy's holiday
78352,Denis Whitburn,86860,Billy's holiday
11966,David Corke,80217,Kingdom of the Lyrebird
80604,Claire Forster,94029,Wives' tales
17495,Stanley Brogden,72016,RAAF Record. Newsreel No. 08
74658,Yoram Gross,83201,Blinky Bill
12677,Arch Nicholson,75372,Floating rice
11119,Phil Noyce,64729,Amy
84293,Charles Hayes,117754,[Charles Hayes Home Movies: Reel 2]
32731,Paul Currie,94984,One perfect day
17648,James Ricketson,77391,Hitting a brick wall
19395,Barry Pierce,97599,"Fatness, foods and fads"
23238,Colin Eggleston,81009,Airhawk: star of the north
23238,Colin Eggleston,81037,Long weekend
19979,Mario Andreacchio,77198,One and one makes three
84297,Tibor Koller,117800,[Tibor Zoltan Koller Home Movie Collection]
19382,David MacDougall,79600,Link-up diary
8316,Patrick Ryan,72792,The Showman
9263,Philip Brophy,85172,Body Melt
84295,William Darbyshire,117795,[William Darbyshire Home Movies: Reel 10]
12016,David Bairstow,67359,Faces of the city
22332,Sue Milliken,85615,Dating the enemy
82089,Kenneth Rankine,114417,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 1]
8745,Nigel Buesst,74108,The Twentieth
20437,Dennis O'Rourke,78669,The Sharkcallers of Kontu
20795,George Ogilvie,79718,The Place at the coast (Captioned)
12787,John Gray,71352,Papua New Guinea report
8392,Robert Luketic,86149,Titsiana Booberini
12170,Suzanne Baker,99196,Lake
20796,Carl Schultz,84213,Blue fin (Captioned)
11966,David Corke,97082,The Rain forest
13379,Frank Hurley,86011,The Eternal forest
84293,Charles Hayes,118275,[Charles Hayes Home Movies: Reel 11]
84432,ABC,67585,Fishing the lake country
84432,ABC,85647,Breaking the ice
12677,Arch Nicholson,65061,Australia
10066,Ken G. Hall,118317,Sea Raider [original release]
76210,Jack Egan,84226,The Story of cricket in Australia (Captioned)
7252,Trevor Graham,99388,Paper trail: the life & times of a woodchip
30182,John S. Curran,88139,Praise
6720,Sue Ford,120103,"Jenny Watson, painter"
20498,Roger Scholes,80626,The Last tall forest
73443,Michael James Rowland,108614,Flying over mother
84432,ABC,65149,Australia's 1st International Girl Guides Camp
21440,Esben Storm,81373,More Winners : The Big Wish (Captioned)
74235,Dean Semler,75320,Five bells: sights and sounds of Sydney Harbour
12170,Suzanne Baker,75320,Five bells: sights and sounds of Sydney Harbour
12044,Stanley Hawes,65931,Challenging years
20796,Carl Schultz,79362,Travelling North
75229,Frank Thring,98284,Diggers
17495,Stanley Brogden,90228,RAAF Record. Newsreel No. 06
20701,Ted Robinson,79003,"Mates, martyrs and masters"
12016,David Bairstow,70171,Marsupials: Naturally the numbat
12797,Donald Crombie,76110,One good reason
19018,Henry Lawson,96005,The Drover's wife: a short story by Henry Lawson
84432,ABC,96005,The Drover's wife: a short story by Henry Lawson
10241,Rolf De Heer,95137,The Old man who read love stories
8745,Nigel Buesst,78152,Come out fighting
86253,John Pallaris,120063,'Moomba' 1974 - 'Float parade' thru' the city
15528,Bruce Petty,76908,Megalomedia
10241,Rolf De Heer,98357,The Voice of the people
23162,Antony Ginnane,94566,Fantasm (E)
7927,Jan Sharp,75533,Sadek: speaking English
13379,Frank Hurley,72332,The Romance of brown coal
12170,Suzanne Baker,71885,Productivity is people
7072,Richard Frankland,86227,No way to forget
6720,Sue Ford,120099,Time changes
10848,rea,109980,gins_leap/dubb_speak
12044,Stanley Hawes,67625,Flight plan
84295,William Darbyshire,117787,[William Darbyshire Home Movies: Reel 2]
84432,ABC,96658,Selective breeding
74658,Yoram Gross,83010,Dot and Santa Claus
12677,Arch Nicholson,71453,People of the cities
82089,Kenneth Rankine,114431,[KenRa Films Present: the Kenneth Rankine Home Movie Collection: Reel 17. Olympic Pool 1943]  [excerpt]
12217,Ivan Gaal,98897,Meeting of minds: the mentor program
12677,Arch Nicholson,64956,Thailand
84432,ABC,64956,Thailand
86253,John Pallaris,120064,'Moomba' 1973 - 'Float parade' thru' the city
12209,Cecil Holmes,76400,A Matter of care: a review of the work of the Repatriation Department
9991,Patricia Edgar,94019,First day
9991,Patricia Edgar,82565,Mr. Fish and Lotis
12798,Oliver Howes,74218,The Unknown land
12797,Donald Crombie,87199,"Through my eyes: Stradbroke Primary School, South Australia (TEFC)"
20498,Roger Scholes,78429,Highland winter
6514,David Caesar,94162,Dirty deeds
76127,Bryan Brown,94162,Dirty deeds
75536,Michael Pate,81042,The Mango tree
12521,Lee Robinson,95711,Pearlers
12693,John B Murray,81035,Libido
12787,John Gray,97057,Table looms
20701,Ted Robinson,79728,Wipe Out the Jargon (Captioned)
12170,Suzanne Baker,72655,Senka
84432,ABC,74354,News digest [No. 3]
11712,Alexander Stitt,119718,"One designer, two designer"
21443,Michael Pattinson,79077,Winners : Just friends (Captioned)
19979,Mario Andreacchio,76803,Beat the heat: energy efficient housing
74142,Bill Mason,67034,Edward John Eyre
84432,ABC,75543,Who pays the price?
84432,ABC,82640,Chi: the breath of life
12209,Cecil Holmes,73332,Style of champions: the Australian crawl
10975,Mark Lewis,82078,The Wonderful world of dogs
8670,Tim Reid,108628,Satdee night
82089,Kenneth Rankine,114415,[KenRa Films Present: the Kenneth Rankine Home Movie Collection]
20892,John Duigan,119179,[John Robertson Duigan Film Collection: Reel 11]
21440,Esben Storm,84179,Diablo is done for (NP)
15528,Bruce Petty,68379,Hearts and minds
84432,ABC,97875,Mister Prime Minister: Joseph Benedict Chifley
19844,Scott Hicks,97748,Canker at the core
43384,Jack Anderson,117873,[John Anderson Home Movies: Reel 26]
21443,Michael Pattinson,83819,Wendy cracked a walnut
13073,John Edwards,83819,Wendy cracked a walnut
84299,Dorothy Nixon,117826,[Nixon Family Home Movies: Reel 8]
84298,Les Nixon,117826,[Nixon Family Home Movies: Reel 8]
19152,Maureen McCarthy,98635,Eating your heart out
84293,Charles Hayes,118277,[Charles Hayes Home Movies: Reel 12]
19979,Mario Andreacchio,82022,Family or friends...?
74759,Justin Milne,69880,Long time journey
21203,Ben Lewin,81377,The Migrant experience. Parts 5 and 6 (Captioned)
19844,Scott Hicks,86930,Sebastian and the sparrow
9735,Ray Lawrence,80718,Bliss
74451,Anthony Buckley,80718,Bliss
13029,Alan Burke,79175,Kindred spirits (Captioned)
12016,David Bairstow,69343,Kangaroos. Part 2. Varieties [Italian version]
10225,Jackie McKimmie,82404,Breaking through...
12217,Ivan Gaal,85896,Autism: who cares (TEFC)
10912,Allan Parker,110034,Boppo's bike ride
13379,Frank Hurley,79860,A Nation is built
84432,ABC,86053,Confronting the future
35395,Ron Cobb,93573,Garbo
